;;;;;;;;;;
;Obligationsrente;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;År;Uge;Kort rente;Lang rente;Kort euro rente;;;;;
;;41;0,11;2,80;0,12;Euro-renten er ikke opdateret i uge 41, hvorfor den effektive rente fra uge 40 er angivet.;;;;
;;40;0,12;2,83;0,12;;;;;
;;39;0,12;2,88;0,09;;;;;
;;38;0,08;2,94;0,10;Euro-renten er ikke opdateret i uge 38, hvorfor den effektive rente fra uge 37 er angivet.;;;;
;;37;0,07;2,93;0,10;;;;;
;;36;0,12;2,87;0,30;;;;;
;;35;0,17;2,92;0,07;;;;;
;;34;0,17;2,95;0,09;Euro-renten er ikke opdateret i uge 34, hvorfor den effektive rente fra uge 33 er angivet.;;;;
;;33;0,21;2,97;0,09;;;;;
;;32;0,21;2,99;0,14;;;;;
;;31;0,16;3,03;0,12;;;;;
;;30;0,26;3,02;0,14;;;;;
;;29;0,16;3,03;0,11;;;;;
;;28;0,12;3,01;0,07;;;;;
;;27;0,24;3,04;0,09;;;;;
;;26;0,21;3,06;0,14;;;;;
;;25;0,20;3,09;0,06;;;;;
;;24;0,21;3,11;0,26;Euro-renten er ikke opdateret i uge 24, hvorfor den effektive rente fra uge 23 er angivet.;;;;
;;23;0,15;3,12;0,26;;;;;
;;22;0,17;3,12;0,28;;;;;
;;21;0,18;3,12;0,41;;;;;
;;20;0,17;3,14;0,19;Euro-renten er ikke opdateret i uge 20, hvorfor den effektive rente fra uge 19 er angivet.;;;;
;;19;0,23;3,19;0,19;;;;;
;;18;0,18;3,21;0,17;;;;;
;;17;0,19;3,22;0,18;;;;;
;;16;0,26;3,23;0,36;Euro-renten er ikke opdateret i uge 16, hvorfor den effektive rente fra uge 15 er angivet.;;;;
;;15;0,43;3,24;0,36;;;;;
;;14;0,30;3,26;0,30;;;;;
;;13;0,22;3,35;0,37;;;;;
;;12;0,23;3,32;0,42;;;;;
;;11;0,17;3,34;0,36;;;;;
;;10;0,21;3,39;0,20;;;;;
;;9;0,19;3,43;0,28;;;;;
;;8;0,15;3,45;0,28;;;;;
;;7;0,15;3,50;0,30;;;;;
;;6;0,14;3,49;0,22;;;;;
;;5;0,25;3,56;0,29;;;;;
;;4;0,21;3,61;0,30;;;;;
;;3;0,26;3,62;0,36;Euro-renten er ikke opdateret i uge 3, hvorfor den effektive rente fra uge 2 er angivet.;;;;
;;2;0,21;3,66;0,36;;;;;
;2014;1;0,15;3,64;0,33;;;;;
;;52;0,18;3,66;0,30;;;;;
;;51;0,20;3,56;0,55;;;;;
;;50;0,20;3,65;0,27;;;;;
;;49;0,18;3,58;0,23;;;;;
;;48;0,14;3,54;0,24;;;;;
;;47;0,19;3,55;0,22;;;;;
;;46;0,20;3,61;0,43;;;;;
;;45;0,20;3,59;0,09;;;;;
;;44;0,29;3,61;0,38;;;;;
;;43;0,27;3,67;0,31;;;;;
;;42;0,31;3,76;0,15;;;;;
;;41;0,27;3,70;0,18;;;;;
;;40;0,36;3,67;0,28;;;;;
;;39;0,24;3,78;0,13;;;;;
;;38;0,20;3,90;0,16;;;;;
;;37;0,32;3,90;0,34;;;;;
;;36;0,23;3,78;0,18;;;;;
;;35;0,22;3,74;0,35;;;;;
;;34;0,23;3,72;0,18;;;;;
;;33;0,22;3,59;0,53;;;;;
;;32;0,18;3,58;0,24;;;;;
;;31;0,17;3,55;0,30;;;;;
;;30;0,19;3,54;0,10;;;;;
;;29;0,24;3,50;0,37;;;;;
;;28;0,24;3,53;0,34;;;;;
;;27;0,28;3,41;0,26;;;;;
;;26;0,24;3,52;0,32;;;;;
;;25;0,19;3,37;0,22;;;;;
;;24;0,11;3,31;0,31;;;;;
;;23;0,16;3,22;0,37;;;;;
;;22;0,15;3,18;0,13;;;;;
;;21;0,14;3,11;0,31;;;;;
;;20;0,16;3,12;0,05;;;;;
;;19;0,19;3,12;0,18;;;;;
;;18;0,20;3,12;0,20;;;;;
;;17;0,21;3,17;0,16;;;;;
;;16;0,21;3,20;0,34;;;;;
;;15;0,24;3,25;0,29;;;;;
;;14;0,19;3,23;0,43;;;;;
;;13;0,36;3,36;0,14;;;;;
;;12;0,26;3,39;0,34;;;;;
;;11;0,29;3,42;0,29;;;;;
;;10;0,30;3,43;0,29;;;;;
;;9;0,26;3,47;0,35;;;;;
;;8;0,32;3,55;0,31;;;;;
;;7;0,31;3,49;0,40;;;;;
;;6;0,30;3,48;0,51;Euro-renten er ikke opdateret i uge 6, hvorfor den effektive rente fra uge 5 er angivet.;;;;
;;5;0,40;3,47;0,51;;;;;
;;4;0,27;3,34;0,49;;;;;
;;3;0,21;3,28;0,46;;;;;
;;2;0,17;3,28;0,26;;;;;
;2013;1;0,21;3,28;0,23;;;;;
;;52;0,21;3,28;0,33;;;;;
;;51;0,21;3,32;0,33;;;;;
;;50;0,23;3,27;0,35;;;;;
;;49;0,26;3,37;0,32;;;;;
;;48;0,28;3,42;0,24;;;;;
;;47;0,30;3,47;0,32;;;;;
;;46;0,23;3,49;0,32;;;;;
;;45;0,31;3,51;0,41;;;;;
;;44;0,43;3,51;0,31;;;;;
;;43;0,30;3,58;0,52;;;;;
;;42;0,26;3,59;0,49;;;;;
;;41;0,30;3,53;0,05;;;;;
;;40;0,28;3,51;0,26;;;;;
;;39;0,36;3,54;0,59;;;;;
;;38;0,31;3,62;0,24;;;;;
;;37;0,18;3,54;0,27;;;;;
;;36;0,25;3,45;0,16;;;;;
;;35;0,22;3,46;0,06;;;;;
;;34;0,19;3,53;0,33;;;;;
;;33;0,19;3,55;0,50;;;;;
;;32;0,14;3,56;0,38;;;;;
;;31;0,16;3,53;0,28;Euro-renten er ikke opdateret i uge 31, hvorfor den effektive rente fra uge 30 er angivet.;;;;
;;30;0,18;3,50;0,28;;;;;
;;29;0,18;3,51;0,48;;;;;
;;28;0,21;3,55;0,11;;;;;
;;27;0,32;3,62;0,64;;;;;
;;26;0,35;3,66;0,71;;;;;
;;25;0,35;3,61;0,67;;;;;
;;24;0,34;3,50;0,28;;;;;
;;23;0,38;3,51;0,25;;;;;
;;22;0,54;3,63;0,59;;;;;
;;21;0,56;3,68;0,81;;;;;
;;20;0,58;3,73;0,46;;;;;
;;19;0,61;3,82;0,68;;;;;
;;18;0,64;3,83;0,66;;;;;
;;17;0,64;3,86;0,71;;;;;
;;16;0,70;3,86;0,61;;;;;
;;15;0,79;3,90;0,54;;;;;
;;14;0,83;3,92;0,60;;;;;
;;13;0,76;3,94;0,62;;;;;
;;12;0,75;3,92;0,70;;;;;
;;11;0,77;3,90;0,72;;;;;
;;10;0,75;3,97;0,75;;;;;
;;9;0,73;3,97;0,83;;;;;
