;;;;;;;
;Obligationsrente;;;;;;
;;;;;;;
;;;;;;;
;År;Uge;Kort rente;Lang rente;Kort euro rente;;
; ;36;3,99;7,59;;;
;;37;4,01;7,58;;;
;;38;4,03;7,55;;;
;;39;3,90;7,46;;;
;;40;4,03;7,37;;;
;;41;4,00;7,39;;;
;;42;4,57;7,50;;;
;;43;4,44;7,53;;;
;;44;4,36;7,54;;;
;;45;4,22;7,51;;;
;;46;4,59;7,48;;;
;;47;4,43;7,41;;;
;;48;4,42;7,36;;;
;;49;4,42;7,36;;;
;;50;4,42;7,36;;;
;;51;4,40;7,19;;;
;;52;4,39;7,12;;;
;1998;1;4,36;7,14;;;
;;2;4,30;7,00;;;
;;3;4,13;6,90;;;
;;4;4,18;6,83;;;
;;5;4,17;6,90;;;
;;6;4,16;6,89;;;
;;7;4,15;6,84;;;
;;8;4,09;6,65;;;
;;9;4,14;6,70;;;
;;10;4,11;6,65;;;
;;11;4,13;6,55;;;
;;12;4,12;6,54;;;
;;13;4,14;6,59;;;
;;14;4,19;6,62;;;
;;15;4,18;6,47;;;
;;16;4,32;6,44;;;
;;17;4,32;6,47;;;
;;18;4,32;6,57;;;
;;19;4,46;6,55;;;
;;20;4,73;6,56;;;
;;21;4,67;6,55;;;
;;22;4,62;6,49;;;
;;23;4,32;6,42;;;
;;24;4,24;6,39;;;
;;25;4,16;6,39;;;
;;26;4,18;6,37;;;
;;27;4,18;6,34;;;
;;28;4,21;6,30;;;
;;29;4,35;6,32;;;
;;30;4,25;6,31;;;
;;31;4,30;6,27;;;
;;32;4,31;6,23;;;
;;33;3,33;6,17;;;
;;34;4,28;6,21;;;
;;35;4,45;6,30;;;
;;36;4,46;6,38;;;
;;37;4,56;6,33;;;
;;38;4,64;6,35;;;
;;39;5,51;6,75;;;
;;40;4,77;6,47;;;
;;41;4,84;6,63;;;
;;42;4,62;6,79;;;
;;43;4,48;6,74;;;
;;44;5,04;6,68;;;
;;45;4,40;6,58;;;
;;46;4,26;6,58;;;
;;47;4,25;6,45;;;
;;48;4,18;6,39;;;
;;49;4,17;6,36;;;
;;50;4,09;6,31;;;
;;51;4,08;6,34;;;
;;52;4,08;6,22;;;
;;53;4,07;6,29;;;
;1999;1;3,88;5,97;;;
;;2;3,74;5,91;3,74;;
;;3;3,76;5,95;3,76;;
;;4;3,64;5,98;3,64;;
;;5;3,61;5,97;3,58;;
;;6;3,65;6,00;3,64;;
;;7;3,65;6,06;3,61;;
;;8;3,62;6,08;3,62;;
;;9;3,64;6,30;3,63;;
;;10;3,59;6,29;3,61;;
;;11;3,54;6,22;3,53;;
;;12;3,48;6,19;3,49;;
;;13;3,48;6,11;3,49;;
;;14;3,36;6,02;3,32;;
;;15;3,16;6,08;3,12;;
;;16;3,13;6,05;3,20;;
;;17;3,19;6,03;3,15;;
;;18;3,16;6,01;3,16;;
;;19;3,28;6,14;3,28;;
;;20;3,41;6,24;3,42;;
;;21;3,41;6,29;3,38;;
;;22;3,37;6,40;3,35;;
;;23;3,42;6,49;3,42;;
;;24;3,42;6,49;3,39;;
;;25;3,44;6,57;3,44;;
;;26;3,37;6,59;3,41;;
;;27;3,47;6,78;3,50;;
;;28;3,50;7,11;3,52;;
;;29;3,61;7,14;3,65;;
;;30;3,57;7,18;3,61;;
;;31;3,62;7,40;3,94;;
;;32;3,90;8,11;3,99;;
;;33;3,77;8,11;3,81;;
;;34;3,70;7,82;3,61;;
;;35;3,91;7,77;3,83;;
;;36;3,77;8,12;3,76;;
;;37;3,85;8,11;3,78;;
;;38;3,82;8,08;3,71;;
;;39;3,75;8,02;3,62;;
;;40;4,05;7,90;3,98;;
;;41;4,13;7,83;4,11;;
;;42;4,21;7,89;4,14;;
;;43;4,25;7,82;4,11;;
;;44;4,28;7,58;4,28;;
;;45;4,18;7,43;4,18;;
;;46;4,21;7,55;4,19;;
;;47;4,30;7,51;4,30;;
;;48;4,34;7,52;4,35;;
;;49;4,32;7,36;4,32;;
;;50;4,31;7,23;4,31;;
;;51;4,35;7,44;4,33;;
;;52;4,35;7,37;4,34;;
;2000;1;4,46;7,50;4,42;;
;;2;4,42;7,54;4,45;;
;;3;4,44;7,61;4,44;;
;;4;4,47;7,66;4,47;;
;;5;4,52;7,53;4,51;;
;;6;4,63;7,41;4,56;;
;;7;4,63;7,45;4,59;;
;;8;4,69;7,33;4,69;;
;;9;4,72;7,40;4,71;;
;;10;4,73;7,32;4,70;;
;;11;4,81;7,26;4,79;;
;;12;4,79;7,25;4,78;;
;;13;4,82;7,24;4,82;;
;;14;4,80;7,22;4,81;;
;;15;4,81;7,16;4,87;;
;;16;4,89;7,22;4,91;;
;;17;5,20;7,32;5,20;;
;;18;5,31;7,40;5,35;;
;;19;5,36;7,44;5,33;;
;;20;5,55;7,58;5,48;;
;;21;5,59;7,53;5,57;;
;;22;5,54;7,53;5,57;;
;;23;5,70;7,52;5,70;;
;;24;5,85;7,53;5,85;;
;;25;5,87;7,57;5,87;;
;;26;5,94;7,63;5,94;;
;;27;6,07;7,59;6,04;;
;;28;6,34;8,18;6,15;;
;;29;6,38;8,15;6,14;;
;;30;6,33;8,10;6,12;;
;;31;6,23;8,09;6,07;;
;;32;6,15;8,07;5,96;;
